Title,URL,Author,Date,Playbacks,Flash_comments,Duration,date_of_scraping
彻底结束!!姜萍熟人匿名爆料全部真相!闹剧就此收尾!,https://www.bilibili.com/video/BV11x4y147fx/,甄机坊,· 15小时前,5.3万,19,08:21,2024/06/26
估计姜萍都后悔报名数学竞赛了,https://www.bilibili.com/video/BV1cH4y1w74g/,m魔法世界,· 6-19,30.9万,67,01:13,2024/06/26
胡说八道，嫉妒让你扭曲 #姜萍 #姜萍全球数学竞赛夺得第12名 #姜萍被质疑作弊,https://www.bilibili.com/video/BV1PugjeMEpg/,985海归教授讲留学,· 6-17,6764,5,01:34,2024/06/26
姜萍吧现状,https://www.bilibili.com/video/BV1US421d7TR/,能力与道德,· 6-25,3797,0,05:21,2024/06/26
为何姜萍等式应称作WDJ等式,https://www.bilibili.com/video/BV1oEg2ekEc6/,喔喔喔嗷嗚,· 6-21,13.9万,45,19:39,2024/06/26
姜萍同学的实名实地采访终于来了！！,https://www.bilibili.com/video/BV1AqgheLEeA/,锦绣Flora,· 6-22,7.1万,114,01:43,2024/06/26
震惊！！！姜萍同学决赛成绩前三名！,https://www.bilibili.com/video/BV1UZgfeeEYt/,音符旅者,· 6-25,4.2万,1,02:41,2024/06/26
“姜萍用国外教材”全网争议,https://www.bilibili.com/video/BV19M4m1m79Y/,我要励志达人,· 6小时前,133,0,06:43,2024/06/26
天才姜萍造假证据已整理出来！不浪费一个天才，不让一个造假者得利！,https://www.bilibili.com/video/BV1Zx4y1b7Qv/,歪果仁日常,· 6-21,1.6万,3,04:26,2024/06/26
姜萍事件：一个互联网上的巨大乐子,https://www.bilibili.com/video/BV1AggUeoENU/,白菜Pro-Max,· 6-21,15万,124,01:22,2024/06/26
关于姜萍阿里巴巴测试题以及板书离谱错误，我想说的,https://www.bilibili.com/video/BV1qs421T7VE/,丶枕河,· 6-17,15.5万,78,08:31,2024/06/26
质疑彻底结束，姜萍涟水同乡熟人匿名爆料全部真相，闹剧就此收尾！,https://www.bilibili.com/video/BV1z4421S7YW/,卯卯姐,· 6小时前,2885,3,08:19,2024/06/26
别再质疑姜萍的水平了！,https://www.bilibili.com/video/BV1ay411z7wc/,--傻蛋--,· 6-22,4.1万,23,00:35,2024/06/26
【人民日报】报道姜萍的视频底下评论区网友留言真大胆哈哈哈哈,https://www.bilibili.com/video/BV1YZ421M7oC/,热门追踪后续,· 18小时前,1.3万,0,01:13,2024/06/26
